ID,PRODUCT,SLOGAN,DESCRIPTION
412,BRILLI,BRILLI NIPPLES - joyería erótica adhesiva,"Tu anatomía es un tesoro y como tal debe brillar. La joyería adhesiva de amantis no sólo hará que aumentes el deseo en los demás, si no que te hará sentir tremendamente sexy y capaz de todo.Estos bonitos adhesivos están hechos de resina acrílica de alta calidad, y son totalmente hipoalergénicas, es decir, que podrás usarlas de manera segura en tu cuerpo. Son muy fáciles de aplicar, tanto como si quieres mantener el dibujo que ya está compuesto como si quieres utilizarlas por separado. Además ¡no dejan residuos en la piel y son reutilizables!Existen diferentes dibujos que están diseñados para ciertas partes del cuerpo, puedes elegir entre diferentes BRILLI BRILLI.¿Cómo usar los adhesivos corporales BRILLI, BRILLI?Retira la pedrería con cuidado y aplica sobre la piel limpia y seca (asegúrate de eliminar aceites, suciedad y restos de maquillaje antes de aplicar). Presiona hacia abajo durante 3-5 segundos. Si se desprende algún cristal puedes usar pegamento corporal o de pestañas (no incluido)."
413,BONDY KIT,Esposas bondage de algodón con correa,"Como sabrás el bondage es la práctica que consiste en atar a nuestro amante con la finalidad de alcanzar el placer. ¿Cómo hacemos para iniciarnos si no sabemos hacer ningún nudo? Pues bien, puedes acudir a uno de los talleres de iniciación que hacemos en amantis y mientras tanto, para ir entrando en calor también puedes hacerte con BONDY KIT.BONDY KIT es un conjunto bondage de esposas con correa con nudos que ya vienen hechos por lo que no tendrás que preocuparte de esta parte del proceso. Este modelo en concreto tiene unos preciosos nudos propios de la técnica shibari que podremos poner en nuestras muñecas.De estas mismas esposas hechas de cuerdas, alguien podrá dominarnos con la correa que sale de las mismas. Luego podremos intercambiar roles y disfrutar de lo altamente erótico que es la cesión y toma de poder. El material del que están hechas es de algodón suave que apretará pero no dañará tus muñecas y el color imita al color del yute real.Inmovilizar las manos de tu amante tiene una alta carga erótica que implica un juego de poder y sensualidad. Los juegos de atar están entran dentro de la categoria de juegos de dominación y sumisión, así que ten en cuenta el principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
414,Azótame Corazón,paleta de polipiel color rosa o negro,"Con esta paleta llega el azote más tierno, tierno solo porque dibujará corazones en tu trasero con cada convincente golpe. Su amplia zona de contacto provocará sonoros azotes que os estimularán hasta el infinito... y más allá... ¿Te lo imaginas? Deberías. Fabricado con suave poli-piel, levemente acolchado y con fuertes costuras que aguantarán tus ganas más extremas. Azota a tu amante con suavidad, o si lo deseas con firmeza, márcale el corazón. Disponible en rosa y negro. Medidas: 23 x 13 cm"
415,Profunda Realidad Anal de amantis,fino y estructurado,"Porque en amantis nos hemos propuesto hacer cada vez más fina la linea que separa la realidad de la fantasía... Tenemos el placer de presentarte un nuevo Dildo de la famila de los Realidad Virtual pero esta vez más indicado para los amantes del lado oscuro.    Sabemos que para descubrir los placeres anales muchas veces menos es más, por eso el Profunda Realidad Anal tiene esa forma cónica, empezando suave suave y adquiriendo mayor contundencia según va descubriendo vuestros secretos para no dejar insatisfecho a nadie.   Su tacto blandito y cálido por fuera y estructurado por dentro hará que se amolde a tus contornos interiores como nada ni nadie antes. Dóblalo, estrújalo, gíralo, hazle lo que quieras, vuestro amor ya es para siempre. Y por si quieres más... Gracias a su base ancha podrás acoplarlo en cualquier tipo de arnés de sistema de anillas como este de amantis. Deja que se deslice dentro y fuera y que alcance profundidades nunca antes disfrutadas... no creerás lo que te está sucediendo.Ojo, el arnés no está incluido."
416,Pala de doble cara,"Bueno Buueeeno Bueeeno… MALO, ZAS!","Hey, baby, hoy has sido mal@, muy mal@. A partir de ahora te vas a esforzar por portarte muy mal, estarás deseando que saquen a pasear esta sonora y contundente pala de dos caras.  No te imaginas lo bien que se sacude traseros con esta maravillosa arma que destaca por su firmeza y sus dos dispares caras. Por un lado, suave peluche con el que acariciar suavemente y propinar golpes más atemperados que ayudan a preparar la zona en una buena sesión de spanking. La cara castigadora, la de cuero, regala buenos azotes de los que resuenan en las paredes, dejan marca y un rico picorcito para reprender a las niñas/os malas/os. La combinación de ambas os hará alcanzar el éxtasis. Si te gusta el spanking es un básico que debes tener y si no sois tan expertos en este arte podréis experimentar nuevas dimensiones de placer moviéndoos entre el dominio y la sumisión. Nunca antes fue tan agradable pasar de las dulces caricias a los traviesos azotes en pareja."
417,Collar de metal con pinzas japonesas de amantis,,"Si ya habéis empezado a andar la senda de la búsqueda del dolor por satisfacción y lleváis recorrido un trecho. Si miráis los collares acolchados con desdén y las clásicas pinzas para pezones os parecen un juego de niños. Si en vuestras cabezas Eros y Tánatos bailan entrelazados una danza al ritmo de golpes y orgasmos encadenados… no os defraudaremos. Este es vuestro complemento para ir un paso más allá.Por un lado el collar de zinc, disponible en dos tallas S y L, pulido, cromado, suave y delicado con la piel para alejar las alergias e irritaciones os gustará tanto que no os lo querréis quitar.Signo de pertenencia de un/a sumisx a un/a dominante es parte importante de estos juegos deliciosos y desquiciados. Es una forma de mostrar el poder y el control y reforzar el dominio sobre el otro, sintiéndolo de manera fluida desde el primer momento en que es colocado. Y sí, al ser de metal y más pesado que los convencionales aumentará la sensación de humillación erótica y sus connotaciones de control. Maravilloso pues.Su cerradura es invisible y sus dos partes se unen gracias a un pasador con forma de llave allen, que no se moverá de su sitio gracias a un pequeño imán.Por otro lado las pinzas japonesas (o de mariposa, o clover clamps) situadas en los extremos de una cadena que pasa por la argolla del collar están diseñadas para incrementar la presión a medida que se tira de ellas, siendo muy difíciles de quitar de un tirón. Con un solo dedo alrededor de la cadena harás que tú sumisx vaya donde quieras. ¿A que es lo que buscabas? Pues aquí lo tienes.Hay que tener en cuenta que, aunque su cabezal viene recubierto de una superficie gomosa para que no dañe la piel, causan un nivel de dolor bastante alto y normalmente solo son toleradas por usuarixs experimentadxs.Y dos apuntes finales:Es interesante saber que cuando finalmente las pinzas se retiran la circulación en el pezón se restaura provocando un pico de dolor más intenso que cuando se llevaban puestas, formando una parte jugosa del juego.Y también que, aunque su uso normal son los pezones, también se pueden usar en otras zonas: lengua, labios vaginales, clítoris, pene , escroto... usadlas cómo la tinta necesaria para cartografiar un mapa del dolor en vuestros cuerpos. Os va a encantar experimentar con ellas.Dolor. Bendito dolor.Sin ti me siento muertx."
418,Cadenita joya con collar ancho y cinturón,,"Si tu lema es “antes muertx que sencillx” esta preciosa joya es para ti, un adorno para complacer tus sueños más exquisitos y sensuales.Vístete para cada ocasión ¿Qué serás hoy? Prueba a recoger tu pelo en un moño descuidado y dejar un tirabuzón suelto para un estilo del siglo XVIII. Una peluca con corte estilo bob te dará un aire a los años 20. O simplemente sé tú mismx luciendo estas piedras por tu cuerpo, sobre un vestido, acompañando un conjunto de lencería, o simplemente sobre tu piel desnuda, vistiendo tu cuerpo de glamour sin ocultar ninguno de tus encantos.El collar y el cinturón se ajustarán a tu cuerpo gracias a los cierres en forma de gancho, pero no tienes porqué usarlos de esta manera si no es tu deseo. ¿Tal vez prefieres ser unx esclavx de lujo? Usa el collar para adornar las muñecas de tu amante y mantenerlo unido a ti por tu cintura, o usa el cinturón como “esposas” para estar más dispuestx a las órdenes de tu amx.El límite es tu imaginación, lo que tenemos claro es que vas a ser la estrella, vas a brillar con luz propia con este complemento.Siéntete como quieras, hoy tú decides, tú tienes el control… o no.Medidas:Largo máx. del collar: 50cmCuerpo: 45 cmLargo máx. del cinturón: 113cm"
419,CRYSTALLUS,Dildo de cristal de amantis,"Este es un cuerpo sólido. Muy sólido. Un vidrio elaborado para cumplir los requisitos de más alta calidad.Si nunca has probado un dildo de cristal, te vamos a contar porqué son lo más, porqué deberías probarlos, y porqué Crystallus puede ser una buena idea para iniciarte en los juguetes ecológicos, duraderos y llenos de gratas posibilidades:Su peso...Sus 260 gramos no los ha probado cualquiera. Pueden parecerte un reto, pero todos esos gramos juntos pueden generar nuevas sensaciones en tus prácticas masturbatorias y juegos en pareja o grupo. Aplica el peso en tu vagina o en tu ano, y manipula el dildo cuidadosamente en los recovecos de tu interior. ¿Notas ya la carga del placer? Su punta en forma de glande, ladeada adecuadamente, puede generar altas dosis de placer en el Punto G femenino o en el Punto P masculino.Su material: cristal, un tesoroVisualmente, esta pieza de azul intenso interactúa con la luz, ofreciendo todo un espectáculo. ¿Te lo imaginas un luminoso día de verano en medio del mar?Su tacto, completamente ultra-liso, favorece la penetración, con o sin lubricante. En la punta, un forma glándica invita a masajearlo dentro y fuera de los cuerpos. Su base, plana, recuerda levemente a unos testículos, y permite que el dildo se aguante solo encima de mesas y superficies; también favorece usarlo con un arnés; y crea un tope de seguridad para prácticas anales.Los juguetes de cristal, además, ofrecen muchas ventajas:es un juguete eco, de larga duración, pues la alta estabilidad del cristal permite que no tengas que reponerlo al cabo de los años. Por lo tanto es sostenible y ecológico.la alta solidez del material permite calentar y refrigerar sin riegos. Puedes ponerlo en el congelador o sumergirlo en agua caliente el tiempo suficiente para alcanzar la temperatura deseada y ponerte a jugar sin prisas.Su forma:Crystallus tiene además, dos peculiaridades más: su diámetro de tan solo 2,3 cm lo hace ideal para principiantes. Y su forma recta, cual falo, está pensada para mentes sobrias. ¿Será tu caso?"
420,LULAMAR,calamar vibrador de amantis,"LULAMAR viene dispuesto a abrazar las zonas más sensibles de tu cuerpo para que tiembles de pasión solo con mirarlo.Lubrica bien su cabeza con tu lubricante a base de agua preferido, enciende su botón y deslízalo en tu interior. Sus tentáculos, suaves y flexibles, cosquillearán la entrada a tu lado oscuro.Si te encuentras en compañía de tu amante y el cuerpo te lo pide, probad a introducir un dildo o pene de carne y hueso en tu ano y las sensaciones se multiplicarán.Ya solo tendrás que enlazarlo con su mando a distancia y disfrutar de sus potentes vibraciones en tu interior… y de sus suaves abrazos en el exterior. Su ergonomía permite que sea un manos libres en toda regla, para que puedas disfrutar a solas o en compañía de todo su poder.¿Te dejas abrazar?No es apto para uso anal... para es tipo de uso visita Especial Anal"
421,Bolsa algodón DISFUTELIA PHALOIDES,haz florecer tu sexualidad,"En amantis llevamos años apostando por un mundo más satisfecho y más sostenible, donde haya más flores y alegría.Esta hermosa planta está basada en un juguete que revolucionó el mercado de la juguetería erótica por su elegancia y ayudó a hacer florecer la sexualidad en miles de personas, el LIV. Hoy, queremos que ayude a que la Tierra siga siendo azul y verde.No es casualidad que desde amantis incorporemos cada vez más juguetes recargables a nuestro catálogo, tengamos iniciativas como el plan vibronove para animaros a reciclar, ni que intentemos reducir plásticos en nuestras tiendas físicas, por ejemplo utilizando bolsas de papel desde nuestros inicios. No obstante, queremos seguir ayudando a nuestro planeta con más iniciativas y que llevéis vuestra bolsa de algodón a cualquier lugar.Haz florecer tu sexualidad con las nuevas bolsas algodón de amantis y de paso ayuda al medio ambiente."
422,LINGALA Vibrador con lengua suave,,"¿No puedes elegir entre sexo oral o penetración porque ambas te resultan igual de excitantes?Si eres de esas personas que les cuesta elegir porque no quieren renunciar a nada, que no cunda el pánico porque tenemos opciones para ti.LINGALA es un vibrador masajeador que tiene doble función. Por un lado encontrarás un simulador de sexo oral y por el otro un dildo con forma ahuevada. La parte del simulador oral está compuesta por una pequeña lengüita que que se mueve de forma suave y de arriba a abajo, con la que tu clítoris se quedará sin palabras. La parte del dildo podrás usarla de manera externa o interna y activar sus 9 patrones de vibración.La parte que une los dos extremos es completamente flexible, es decir que la podrás doblar todo lo que quieras y jugar con diferentes ángulos.Cómo se utiliza el vibrador con lengua LINGALAEs importante que despiertes a tu cuerpo y le prepares para recibir placer. Para ello LINGALA es un vibrador que te da muchas posibilidades de uso. Puedes usar la lenguita para estimular tus pezones y dejar que toda tu piel se ponga de gallina. Sin activar la vibración y utilizando algún lubricante a base de agua como Desliz! puedes deslizar la parte del dildo LINGALA por el exterior de tu vulva y activar su vibración cuando sientas que es el momento indicado.Te sugerimos que una vez tus genitales estén despiertos será el momento en el que tu clítoris estará preparado para recibir placer, ahí comienza a alternar ambas estimulaciones y jugar con los ángulos que LINGALA nos permite gracias a su flexibilidad.Es un juguete que también puede ser utilizado para estimular a dos personas al mismo tiempo, una recibiendo la penetración y la otra gozando de la función de la lengüita tanto en clítoris como en glandes. No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén."
423,LEOPARDA,body entero de leopardo lencero,"El estampado de leopardo es algo que, por alguna razón, todos los estilos han integrado en su estética. Lo hemos visto de todos los colores y en muchas prendas diferentes. ¿Pero qué nos dices de un body lencero y estampado de leopardo bordado? Leoparda va a sacar tu instinto animal; todas tus ganas de mordisquear y olisquear a tus amantes. Para llevar el juego más allá esta pieza está diseñada con un capucha que traerá inspiración en el coqueteo animalesco. Este body está hecho de nylon y spandex, materiales cuyas propiedades hacen que esta pieza sea extremadamente elástica. Esta elasticidad nos permite una mayor adaptabilidad a todo tipo de cuerpos, de mayor o menor voluptuosidad. Por supuesto, es completamente amiga de todos los sexos u orientaciones."
424,CATTY,Diadema gatuna de belleza animal,"Sorprende a tu pareja desplegando belleza y buen humor con esta diadema de inspiración felina para encender la llama de la pasión con el mejor de los ingredientes: ¡el sentido del humor!Creadas con un arco plástico cómodo y de gran flexibilidad, están rematadas con graciosas orejitas de gatx en suave cuero vegano de color negro para que puedas abandonarte a la imaginación haciendo el animal como mejor te parezca, porque hasta son fáciles de limpiar si la animalada se descontrola un poco.Ya puedes ir empezando a ronronear como un felino calzándote en la cabeza este tierno y divertido complemento en forma de diadema fantasía y maullar de alegría por los tejados, por los colchones o por donde mejor te parezca.Ahora te toca desplegar tu mejor instinto animal y elegir por quién te vas a dejar acariciar sin arañar demasiado fuerte...¿Ronroneas o maúllas?"
425,ZASLOVER,Pala BDSM de bambú LOVE,"El arte de azotar recibe el nombre de spanking y existen multitud de látigos bondage, palas BDSM, fustas BDSM y floggers, que son distintos tipos de azotadores, ofreciéndonos cada uno diferentes sensaciones según la forma que tienen y/o del material del que están hechos.ZASLOVER es una pala para spanking de bambú, material que se ha utilizado a través de la historia no solo por la fuerza del material, sino también por ser un material muy respetuoso con el medio ambiente. Es una planta ecológica y multifuncional, elástica y liviana pero a la vez muy resistente. Gracias a su gran ligereza, y a su mango ergonómico, podrás controlar con precisión la intensidad de la azotaina, y provocar una enorme variedad de sensaciones.Además ZASLOVER viene adornada con la palabra love en ambos lados, para recordarnos que existe una relación muy estrecha entre placer y dolor, siempre y cuando todo se haga con amor, no necesariamente romántico, pero sí del respetuoso.Los azotes son experiencias sensoriales dejan nuestra piel en un estado alterado que sentirá estímulos conocidos de una manera diferente. Aprended a miraros y deciros lo que os gusta para poder cumplir con el principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
426,Desliz! de silicona 500,,"Desliz! de silicona se ha hecho mayor y ya tiene 500ml! Cómodo y discreto ahora lo tendrás siempre a mano para usar cómodamente con su frasco con aplicador sin preocuparte de que se termine cuando más lo necesitas ;)Su absorción es lenta y cálida, su tacto es sedoso y muy muy resbaloso.Desliz! de silicona es una fórmula original de lubricante íntimo a base de extractos de silicona, 100% compatible con preservativos y con tus juguetes preferidos (excepto aquellos que sean de silicona), su rendiemiento es excepcional y dejará tu piel deslizante durante mucho tiempo.Ideal para el contacto cuerpo a cuerpo. No tiene olor ni sabor, es hipoalergénico y no bloquea los poros de la piel.Crea una experiencia más sensual para los dos, diseñado para incrementar el placer."
427,ENRICCO,Realidad Virtual Estructurado,"ENRICCO Así es el nuevo dildo de la serie Realidad Virtual. La forma, tamaño y textura que tantos placeres está repartiendo por el mundo amántico, ahora en formato moldeable: dale forma y a disfrutar que son dos días.    Sin vibración ni rotación, aparentemente es el más sencillo de los Realidad Virtual, sin embargo su tacto superblandito por fuera y estructurado por dentro te dará infinitas posibilidades para la ensoñación con solo tenerlo en las manos. Presiona, apachurra o retuerce tu RV estructurado dándole la forma que más os inspire, él la mantendrá obediente gracias a su estructura interna vertebrada. Gracias a su ventosa puedes sujetarlo en cualquier superficie plana o adaptarlo a cualquier arnés de anillas y convertirlo en un complemento sin manos con el que abrir las puertas de la magia en pareja.ENRICCO RV Estructurado está disponible en dos tamaños."
428,VICTORIA,Triquini Minimal con cintas de amantis,"Siéntete todavía más poderosa con la nueva línea de lencería de amantis.  No se puede ser más sexy, más cañera y más auténtica. Este triquini en forma de V es la prueba de que la noche va ser de escándalo. De una delicada tela semitransparente negra y unas tiras elásticas que quedan unidas por unos botones de diamantes, deja el cuello libre para que te lo puedas atar a la altura que desees. El tanga, acaba con un bonito lazo negro, dejará sin palabras a quien se atreva a quitártelo. Póntelo una noche de marcha y deja que te suban la autoestima. ¡La Victoria está asegurada!¡Esta batalla la vas a ganar y lo sabes"
429,Huesito de silicona de amantis,mordaza ajustable,Gracias a este gustoso huesito de silicona blanda tus gemidos van a sonar diferente y tu calor interior se va a disparar como el de un animal excitado o en celo. En ocasiones tener un mordedor donde descargar tensiones nos puede ayudar a sentir una intensidad diferente y a controlar nuestros impulsos más primarios. Además es totalmente ajustable por lo que podrás regular la intensidad con la que quedarás con la boca abierta. ¿Queréis sentir algo nuevo?
430,BRAD 16cm,Dildo de silicona platino con ventosa,"La nueva gama de dildos hiperrealistas de silicona platino de amantis son adictivos, prepárate, te vamos a poner miel en los labios. Fabricados de una sola pieza de silicona líquida, suave, tierna, cálida y gustosa, han sido inspirados en formas y tamaños reales e imaginarios. ¿Cuál te atrae más? - Ok, ahora háblame de Brad. Brad es proporcionado, bello y estiloso, es también el más compacto de sus hermanos, pero a la vez el más educado y servicial, no lo dudes, sabrá saciar tu apetito por voraz que sea. Brad es perfecto para jugar a solas pero es amable y sabe compartirte con otros apasionados amantes a la vez, la cantidad de posturas, y cambios de perspectivas serán todo un aliciente. Siempre mejora con unas gotitas de lubricante Desliz! para sentir toda su frescura y jovialidad. Si quieres, disfrútalo a solas y sin moderación, pero también es perfecto para disfrutar en compañía, con BRAD tres son multitud… de momentos de diversión y placer. -Venga Brad, quiero sentirte.Dimensiones: · 16cm longitud, 13cm practicables · 3.8 diámetro máximo"
431,Arnés de pecho para hombre,,"Toda la semana fingiendo ser otro. Hoy, por fin, voy a ser yo. En amantis conocemos la importancia que tienen los complementos a la hora de explorar y expandir tu sexualidad. Como ayudan a transformarte en lo que en ese momento quieres ser o a reafirmarte en lo que ya eres, y sobre todo, a proyectar como quieres mostrarte.Su poder sólo puede ser ignorado por aquellxs que jamás los han utilizado.¿Cómo quieres que te vean?Os presentamos este increíble arnés de pecho elaborado en cuero sintético de color negro y anillas metálicas con remaches. Un accesorio creado para hombres dominantes, que quieren remarcar y reforzar su virilidad y mostrar su poderío.Una prenda que hablará por ti y someterá a quien te contemple.Realizada en dos partes, estas unen entre sí por un sistema de hebillas estilo cinturón que permite ajustar la prenda al contorno del pecho con total precisión sea cual sea la talla.Las correas (con un ancho de 30mm y un grosor de 3mm) están forradas y tienen los bordes cosidos, proporcionando resistencia y comodidad. Además todos los orificios están alineados y reforzados con ojales metálicos, combinando con los remaches y las hebillas también de metal.Dos anillas “O” de 55 mm de diámetro en tu pecho y otras dos en tu espalda supondrán el colofón visual que hará doblar las rodillas de quién se ponga en tu camino. Un arnés perfecto para no llevar nada más encima e idóneo, llegado el caso, para combinar con otros accesorios y añadirle correas o cadenas a las anillas metálicas.El complemento ideal para tus batallas más duras.Prepárate. Hoy por fin arderá Troya."
432,CRESCENDO,Dildo de progresión anal,"Para aquellxs que quieren progresar en el placer anal, especialmente si ya tienen cierta experiencia en la práctica pero quieren avanzar y experimentar un poquito más, en amantis hemos traído este dildo de nuestra nueva línea Black Line, con la forma (y ventajas) de unas bolas tailandesas y la comodidad de uso de un dildo gracias a su base con ventosa. Lo primero que sorprende es su tacto, fabricado con una sedosa y gustosa silicona que le proporcionan una flexibilidad ideal para que el juguete se mueva contigo una vez colocado, pero también la rigidez justa para poder manejarlo con decisión. Solo con tocarlo, ya te entran ganas de comenzar a jugar con él.El secreto de CRESCENDO este súper juguete que te traemos, es su forma. Consta de 4 bolas que van aumentando de diámetro de manera progresiva, con un pequeño curvado en la punta para que puedas llegar y estimular todos los rincones que se te ocurran solo girándolo sobre sí mismo. Y como pensamos en todo, cuenta con una súper ventosa adherente, colócalo en una superficie lisa y activa tu modo “manos libres”. ¡Tú decides como quieres usarlo!Utilízalo siempre con un lubricante de base acuosa como Desliz!Anal. Para disfrutar al máximo de tu lindo culito y de todo el placer que te puede llegar a dar este fantástico dildo."
433,SAUVAGE FOX,Plug negro con cola marrón,"Ten una experiencia anal tan original y divertida como atrevida y extremadamente erótica, en amantis te ayudamos con esta elegante llave que abrirá delicadamente esa ya tan conocida y deseada puerta trasera... lo disfrutarás tanto tú como tu chic@.Con SAUVAGE FOX este plug anal 100% vegano, con su suave y dulce colita de zorro podrás convertirte en un fiero animal y sacar las garras grrrrr… o podrás ponerte  ronronear hasta alcanzar el máximo placer, dominar o ser dominad@, ¡tú decides! Imagina a tu pareja… se volverá loc@ solo de verte.Y ya si te gusta el mundo manga, y te crees un auténtico Otaku, es tu juguete perfecto! podrás transformarte en tu Hentai preferido y hacer tus fantasías anime realidad….Este plug de suave y sedosa silicona de grado médico tiene un tacto realmente agradable y junto con uno de nuestros lubricantes a base de agua Desliz! convertirá tus experiencias anales en una auténtica delicia. Por su tamaño, con 3,5 cm en su parte más ancha, es perfecto para que se inicien los principiantes, y por su dulce colita para que se eroticen los expertos. Además con su estupenda cola de peluche podréis acariciaros y haceros esas cosquillitas que tanto nos gustan a todos.A qué estás esperando para incorporar un poco de diversión y fantasía a tus relaciones, no te lo pienses y compra Plug con Colita de zorro, saca tu lado más animal o más tierno y sal de la rutina anal de la manera más original y elegante."
434,DUPLUS,el dildo doble de cristal de amantis,"Este es un dildo complejo: para mentes y cuerpos exigentes. Combina la elegacia y gran abanico de posibilidades que da el cristal con las mil opciones para jugar que ofrecen los dildos dobles.¿Qué significa tener un dildo de cristal? Si nunca has probado un dildo de cristal, te vamos a contar porqué porqué deberías probarlos:El peso es un elemento de juego en esta clase de dildos. Duplus cuenta con 325 gramos que, pueden parecerte un reto, pero todos esos gramos juntos puede generar nuevas sensaciones en tus prácticas masturbatorias y juegos en pareja o grupo. Aplica todo el peso del dildo en tu vagina o ano, y manipula el dildo cuidadosamente en los recovecos de tu interior. ¿Notas ya la carga del placer?Visualmente, esta pieza preciosa interactúa con la luz, ofreciendo todo un espectáculo óptico de destellos luminosos. ¿Te lo imaginas llevándotelo a la playa un luminoso día de verano? ¿O exponiéndolo en una sala bien iluminada ante tus acólitos compañerxs de juego?Su tacto, completamente ultra-liso, favorece la penetración, con o sin lubricante. Duplus, además, incorpora estrías rugosas, imitación venas, que hacen que el mete-saca pase a ser un música para tus sentidos. En cada punta, un forma glándica invita a masajearlo dentro y fuera de los cuerpos. Y lo más importante: el cristal es un material sólido y muy estable, que permite que no tengas que reponer tu juguete preferido al cabo de los años. Por lo tanto es sostenible y ecológico. Pero además, permite cambios de temperatura sin riesgo alguno: puedes ponerlo en el congelador o sumergirlo en agua caliente el tiempo suficiente para alcanzar la temperatura deseada del juguete, y por ende, de tu cuerpo.¿Qué significa tener un dildo doble?Por si te falta un poco de imaginación, aquí algunas ideas:Es ideal para parejas gay que deseen disfrutar de la penetración al mismo tiempo.También para parejas de lesbianas que deseen penetrarse en el mismo momento.Un juguete ideal también para parejas heterosexuales: la chica es penetrada vaginalmente, el hombre, analmente. Una alternativa más al pegging.¿Hace falta explicar nada más? ¡Hazte con él!"
435,OVVO,kit de ejercicios Kegel deluxe,"Porque quiero un suelo pélvico entrenado, bien musculado, saludable y preparado para el placer...OVVO es un kit de bolas en forma de huevito anatómico están diseñadas en silicona premium, libre de pfalafatos. El kit se compone de 6 huevos de diferentes pesos, muy confortables, de textura suave, sin poros, y muy fáciles de lavar. Son huevos técnicamente perfectos, sin aperturas, estrías o rugosidades que puedan molestar o acumular suciedad. Fueron diseñados y son recomendados por médicos.¿Cómo debes usarlas?Puedes ejercitar tu zona pélvica introduciendo los diferentes huevos, de forma activa, haciendo un uso consciente y por ejemplo caminando con OVVO 15 minutos al día. A medida que controles el huevo, no te resulte molesto y lo lleves ligeramente, puedes ir aumentando de peso.También puedes realizar gimnasia activa, con un huevo puesto, y realizar ejercicios de Kegel. Igual que antes, a medida que avances y mejores en tus ejercicios, puedes ir introduciéndote un huevo de más peso.Si te animas a llevarte este set, te aseguramos buenísimos resultados: usándolo 15 minutos al día, en solo pocas semanas notarás la diferencia en tu suelo pélvico; en 1, 2 meses, tendrás unos músculos vaginales más fuertes y resistentes y mucho más control de la orina. ¡Recomendado a todo tipo de mujeres! Desde recién estrenadas mamás a aquellas mujeres maduras que llegaron a la menopausia."
436,RIENDA,montura sexual de amantis,"Prepárate convertirte en jinete o amazona porque con este nuevo arnés de amantis vas a domar a la bestia YEE HAW!!!!Ármate para montar sobre tu potro salvaje y agarra bien las riendas. Gracias a sus 3 agarres podrás controlar a tu res con las dos manos, haciendo tus penetraciones más profundas y firmes, o con una, dejando la otra libre para azotarla si se porta mal o lo que se te pase por la imaginación.No te preocupes si tu pasión se desboca y tiras con firmeza de tu nuevo accesorio. Gracias a su zona interior acolchada y a la ancha banda que rodeará la cintura de tu presa, es muy cómodo y no hay peligro de rozaduras ni molestias.Adapta las riendas al cuerpo de tu amante con su resistente velcro, prepárate para dar rienda suelta a tu pasión y, si quieres, incorpora a tu juego una colita animal para que tu doma sea más efectiva."
437,COLIBRÍ,Potente puntero zumbador,"Colibrí es el nuevo y potente vibrador de amantis. Si ya le habías echado el ojo antes a los productos de esta casa por su diseño y elegancia… con Colibrí ¡vas a alucinar! Ligero, compacto, suave como la seda y discreto, discretísisisimo… y es que, lo dejes donde lo dejes, nadie adivinará nunca lo que este pajaritoo es capaz de hacerte sentir.La sutileza de sus formas y la suavidad de sus materiales hará que no quieras soltar nunca este vibrador. Fabricado en silicona y ABS, Colibrí es totalmente sumergible, por lo que podrás llevarlo contigo a todas partes… no importa si es en la ducha, la bañera o el jacuzzi del hotel. Activa esta varita mágica manteniendo la pulsación del botón de encendido durante 3 segundos. Y, a continuación, aprieta una y otra vez el botón para ir descubriendo poco a poco cada una de sus 9 funciones de vibración. Si con la primera ya te ha parecido potente… ¡espera a ver lo que viene después!Además, te animamos a que hagas gala de tu creatividad y explores las sensaciones que este vibrador es capaz de despertar en cada rincón de tu cuerpo.  ¿Por qué no comenzar por la nuca? ¿por qué no recorrer las líneas de tu cuello y escote lentamente? Cierra los ojos e imagina que pintas tu cuerpo con un pincel mojado en… ¡placer! Dibuja círculos alrededor de tus pezones con la punta del vibrador y deja que las formas redondeadas de tu figura guíen el camino de este juguete hasta tu ombligo. Avanza sutilmente hacia tus ingles y juguetea con los labios externos. Deja que tu cuerpo se estremezca en anticipación a lo que sabe que va a venir."
438,ZORCA,el vibra_veggie de amantis granulado,"En amantis estamos concienciados con el medio ambiente y queremos que lleves una vida sana, por eso te traemos esta colección de verduras y hortalizas para que satisfagas tus deseos más veggies.De forma sugerente y grosor considerable, esta mazorca tiene detallados todos los granos de maíz que la componen para puedas ir contándolos según vas sintiéndolos en tu interior. Su cuerpo, ligeramente flexible y suave, se adaptará a cada postura y recoveco.Y todavía no te hemos mencionado lo mejor: Te pondrás a temblar en cuanto actives su potente vibración con su botón único. Juega en la cama, en la cocina y hasta en la bañera, porque todos los veggies son sumergibles y 100% silicona.Recuerda que hay que lavar tus vegetales antes de disfrutarlos, para ello pulveriza un poco de Limpín y acláralos con agua tibia. Guarda tus veggies secos y en bolsas independientes para que te “lleven al huerto” siempre que quieras."
